"Date","S191_AMMONIA_N_Ld_mg","S191_S_FLOW_cfd"
"1991-04-08",20208714.0119424,288695.91445632
"1991-04-09",27714807.7878067,346435.097347584
"1991-04-22",22332341.5860787,279154.269825984
"1991-04-23",24243117.0876922,269367.967641024
"1991-04-29",23846771.8492013,264964.131657792
"1991-05-20",2727931.7340576,272793.17340576
"1991-05-28",16499705.4838426,549990.182794752
"1991-06-04",1414120.66572672,141412.066572672
"1991-06-10",12546039.4011187,156825.492513984
"1991-06-24",64662991.6871232,431086.611247488
"1991-07-01",50247768.5686771,558308.539651968
"1991-07-02",128592010.710374,857280.071402496
"1991-07-08",24199078.7278598,268878.652531776
"1991-07-16",79738790.2030541,569562.787164672
"1991-07-23",117413607.039604,690668.276703552
"1991-07-29",92500128.2522419,544118.401483776
"1991-07-30",43372891.2837427,271080.570523392
"1991-08-12",52268639.9698712,1306715.99924678
"1991-08-13",39886521.1303507,569807.444719296
"1991-08-20",51551793.334823,271325.228078016
"1991-08-27",121722026.576532,1352466.96196147
"1991-08-28",117934727.630953,1310385.86256614
"1991-09-03",65470361.6173824,818379.52021728
"1991-09-10",209074559.879486,1493389.7134249
"1991-09-16",36598323.5962042,522833.194231488
"1991-09-24",194754753.207343,846759.796553664
"1991-09-25",179431850.561242,944378.16084864
"1991-09-30",179612897.151663,816422.259780288
"1991-10-07",132212942.51881,1652661.78148512
"1991-10-08",66534621.979997,1330692.43959994
"1991-10-14",66791512.412352,256890.4323552
"1991-10-21",53073563.3245843,252731.253926592
"1991-10-23",28977240.7696666,241477.006413888
"1992-06-29",418246982.78082,3485391.5231735
"1992-07-06",243727855.916428,1218639.27958214
"1992-07-13",115237378.091223,284536.736027712
"1992-07-21",580435368.892163,1568744.24024909
"1992-07-27",187427259.446354,595007.172845568
"1992-08-03",55488333.3887232,277441.666943616
"1992-08-10",343523672.447558,1808019.32867136
"1992-08-11",469133307.567065,2233968.13127174
"1992-08-17",51928565.968944,346190.43979296
"1992-08-25",120567242.918707,1096065.84471552
"1992-08-31",119334168.843402,917955.144949248
"1992-09-08",23695084.1653344,182269.87819488
"1992-09-09",84612368.6911642,769203.351737856
"1992-09-15",74207082.8930053,1060101.18418579
"1992-09-21",7358075.9553168,490538.39702112
"1992-09-22",36855214.0285594,526503.057550848
"1992-09-28",51348727.5644851,466806.614222592
"1992-10-05",51867401.580288,518674.01580288
"1992-10-06",28859805.143447,240498.376195392
